step,energy,fmax
0,-9.12098269316246,53.79724884033209
1,-29.97275826343807,6.194530280677775
2,-30.570519884516127,4.142167126196923
3,-31.149373146500388,0.8294563298049781
4,-31.183450654146238,0.3451727518343223
5,-31.191271586881644,0.33617980287543675
6,-31.198274987803014,0.24687946457489
7,-31.20355209208854,0.17028011894980885
8,-31.20534533453612,0.08851606825742056
9,-31.20569383316278,0.06112741298063941
10,-31.205757272494992,0.04807254665920536
11,-31.205845904563397,0.024766559450855343
